mode,top_k,fetch_k,threshold,mmr_lambda,hit_rate_at_k,evidence_recall,mrr,unsupported_rejection_accuracy,cross_policy_hit_rate,cross_policy_evidence_recall,unsupported_category_rejection_accuracy,balanced_score
mmr,6,30,0.5,0.7,0.8333333333333334,0.8958333333333334,0.8888888888888888,1,0.75,0.875,1,0.9097222222222223
similarity,4,12,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,4,20,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,4,30,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,5,12,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,5,20,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,5,30,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,6,12,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,6,20,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
similarity,6,30,0.5,,0.8333333333333334,0.8958333333333334,0.8854166666666666,1,0.75,0.875,1,0.9097222222222223
mmr,4,12,0.4,0.7,0.9166666666666666,0.9583333333333334,0.90625,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,4,20,0.4,0.7,0.9166666666666666,0.9583333333333334,0.90625,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,4,30,0.4,0.7,0.9166666666666666,0.9583333333333334,0.90625,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,5,12,0.4,0.7,0.9166666666666666,0.9583333333333334,0.90625,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,5,20,0.4,0.7,0.9166666666666666,0.9583333333333334,0.90625,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,5,30,0.4,0.7,0.9166666666666666,0.9583333333333334,0.90625,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,4,12,0.375,0.7,0.9166666666666666,0.9583333333333334,0.8993055555555556,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,4,20,0.375,0.7,0.9166666666666666,0.9583333333333334,0.8993055555555556,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,4,30,0.375,0.7,0.9166666666666666,0.9583333333333334,0.8993055555555556,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,5,12,0.375,0.7,0.9166666666666666,0.9583333333333334,0.8993055555555556,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,5,20,0.375,0.7,0.9166666666666666,0.9583333333333334,0.8993055555555556,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
mmr,5,30,0.375,0.7,0.9166666666666666,0.9583333333333334,0.8993055555555556,0.8333333333333334,0.75,0.875,0.8333333333333334,0.9027777777777778
similarity,3,12,0.375,,0.9166666666666666,0.9375,0.8958333333333334,0.8333333333333334,1,1.0,0.8333333333333334,0.8958333333333334
similarity,3,12,0.4,,0.9166666666666666,0.9375,0.8958333333333334,0.8333333333333334,1,1.0,0.8333333333333334,0.8958333333333334
similarity,3,20,0.375,,0.9166666666666666,0.9375,0.8958333333333334,0.8333333333333334,1,1.0,0.8333333333333334,0.8958333333333334
similarity,3,20,0.4,,0.9166666666666666,0.9375,0.8958333333333334,0.8333333333333334,1,1.0,0.8333333333333334,0.8958333333333334
similarity,3,30,0.375,,0.9166666666666666,0.9375,0.8958333333333334,0.8333333333333334,1,1.0,0.8333333333333334,0.8958333333333334
similarity,3,30,0.4,,0.9166666666666666,0.9375,0.8958333333333334,0.8333333333333334,1,1.0,0.8333333333333334,0.8958333333333334
similarity,3,12,0.5,,0.7916666666666666,0.8541666666666666,0.875,1,0.75,0.875,1,0.8819444444444443
similarity,3,20,0.5,,0.7916666666666666,0.8541666666666666,0.875,1,0.75,0.875,1,0.8819444444444443
similarity,3,30,0.5,,0.7916666666666666,0.8541666666666666,0.875,1,0.75,0.875,1,0.8819444444444443
mmr,3,12,0.4,0.7,0.875,0.9166666666666666,0.8958333333333334,0.8333333333333334,0.75,0.875,0.8333333333333334,0.875
mmr,3,20,0.4,0.7,0.875,0.9166666666666666,0.8958333333333334,0.8333333333333334,0.75,0.875,0.8333333333333334,0.875
mmr,3,30,0.4,0.7,0.875,0.9166666666666666,0.8958333333333334,0.8333333333333334,0.75,0.875,0.8333333333333334,0.875
mmr,3,12,0.375,0.7,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8333333333333334,0.5,0.75,0.8333333333333334,0.8541666666666666
mmr,3,20,0.375,0.7,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8333333333333334,0.5,0.75,0.8333333333333334,0.8541666666666666
mmr,3,30,0.375,0.7,0.8333333333333334,0.8958333333333334,0.8888888888888888,0.8333333333333334,0.5,0.75,0.8333333333333334,0.8541666666666666
similarity,6,12,0.35,,1,1.0,0.90625,0.5,1,1.0,0.5,0.8333333333333334
similarity,6,20,0.35,,1,1.0,0.90625,0.5,1,1.0,0.5,0.8333333333333334
similarity,6,30,0.35,,1,1.0,0.90625,0.5,1,1.0,0.5,0.8333333333333334
similarity,4,12,0.35,,0.9583333333333334,0.9791666666666666,0.90625,0.5,1,1.0,0.5,0.8125
similarity,4,20,0.35,,0.9583333333333334,0.9791666666666666,0.90625,0.5,1,1.0,0.5,0.8125
similarity,4,30,0.35,,0.9583333333333334,0.9791666666666666,0.90625,0.5,1,1.0,0.5,0.8125
similarity,5,12,0.35,,0.9583333333333334,0.9791666666666666,0.90625,0.5,1,1.0,0.5,0.8125
similarity,5,20,0.35,,0.9583333333333334,0.9791666666666666,0.90625,0.5,1,1.0,0.5,0.8125
similarity,5,30,0.35,,0.9583333333333334,0.9791666666666666,0.90625,0.5,1,1.0,0.5,0.8125
mmr,6,12,0.35,0.7,0.9583333333333334,0.9791666666666666,0.8993055555555556,0.5,0.75,0.875,0.5,0.8125
mmr,6,20,0.35,0.7,0.9583333333333334,0.9791666666666666,0.8993055555555556,0.5,0.75,0.875,0.5,0.8125
mmr,6,30,0.35,0.7,0.9583333333333334,0.9791666666666666,0.8993055555555556,0.5,0.75,0.875,0.5,0.8125
mmr,4,12,0.35,0.7,0.9166666666666666,0.9583333333333334,0.8993055555555556,0.5,0.75,0.875,0.5,0.7916666666666666
